127.0.0.1 - - [02/Feb/2022:22:44:45 -0800] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [02/Feb/2022:22:44:59 -0800] "GET /mycart/ HTTP/1.1" 200 2856
0:0:0:0:0:0:0:1 - - [02/Feb/2022:22:45:03 -0800] "GET /mycart/login.jsp HTTP/1.1" 200 3936
0:0:0:0:0:0:0:1 - - [02/Feb/2022:22:45:13 -0800] "POST /mycart/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Feb/2022:22:45:14 -0800] "GET /mycart/admin.jsp HTTP/1.1" 200 3609
0:0:0:0:0:0:0:1 - - [02/Feb/2022:22:45:14 -0800] "GET /mycart/img/product.png HTTP/1.1" 200 10552
0:0:0:0:0:0:0:1 - - [02/Feb/2022:22:45:14 -0800] "GET /mycart/img/seo-and-web.png HTTP/1.1" 200 27016
0:0:0:0:0:0:0:1 - - [02/Feb/2022:22:48:33 -0800] "GET /mycart/admin.jsp HTTP/1.1" 200 3668
0:0:0:0:0:0:0:1 - - [02/Feb/2022:22:48:33 -0800] "GET /mycart/img/product.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Feb/2022:22:48:33 -0800] "GET /mycart/img/seo-and-web.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Feb/2022:22:48:34 -0800] "GET /mycart/admin.jsp HTTP/1.1" 200 3668
0:0:0:0:0:0:0:1 - - [02/Feb/2022:22:48:35 -0800] "GET /mycart/admin.jsp HTTP/1.1" 200 3668
0:0:0:0:0:0:0:1 - - [02/Feb/2022:22:48:35 -0800] "GET /mycart/admin.jsp HTTP/1.1" 200 3668
0:0:0:0:0:0:0:1 - - [02/Feb/2022:22:48:36 -0800] "GET /mycart/admin.jsp HTTP/1.1" 200 3668
0:0:0:0:0:0:0:1 - - [02/Feb/2022:22:48:38 -0800] "GET /mycart/admin.jsp HTTP/1.1" 200 3668
0:0:0:0:0:0:0:1 - - [02/Feb/2022:22:48:38 -0800] "GET /mycart/admin.jsp HTTP/1.1" 200 3668
0:0:0:0:0:0:0:1 - - [02/Feb/2022:22:48:38 -0800] "GET /mycart/admin.jsp HTTP/1.1" 200 3668
0:0:0:0:0:0:0:1 - - [02/Feb/2022:22:48:39 -0800] "GET /mycart/admin.jsp HTTP/1.1" 200 3668
0:0:0:0:0:0:0:1 - - [02/Feb/2022:22:48:39 -0800] "GET /mycart/admin.jsp HTTP/1.1" 200 3668
0:0:0:0:0:0:0:1 - - [02/Feb/2022:22:50:04 -0800] "GET /mycart/admin.jsp HTTP/1.1" 200 3693
0:0:0:0:0:0:0:1 - - [02/Feb/2022:22:50:24 -0800] "GET /mycart/admin.jsp HTTP/1.1" 200 3693
0:0:0:0:0:0:0:1 - - [02/Feb/2022:22:51:45 -0800] "GET /mycart/admin.jsp HTTP/1.1" 200 3708
0:0:0:0:0:0:0:1 - - [02/Feb/2022:22:51:45 -0800] "GET /mycart/img/seo-and-web.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Feb/2022:22:51:45 -0800] "GET /mycart/img/product.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Feb/2022:22:54:01 -0800] "GET /mycart/admin.jsp HTTP/1.1" 200 3813
0:0:0:0:0:0:0:1 - - [02/Feb/2022:22:54:01 -0800] "GET /mycart/img/list.png HTTP/1.1" 200 2502
0:0:0:0:0:0:0:1 - - [02/Feb/2022:22:56:33 -0800] "GET /mycart/admin.jsp HTTP/1.1" 200 3915
0:0:0:0:0:0:0:1 - - [02/Feb/2022:22:56:33 -0800] "GET /mycart/img/seo-and-web.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Feb/2022:22:56:33 -0800] "GET /mycart/img/product.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Feb/2022:22:59:52 -0800] "GET /mycart/admin.jsp HTTP/1.1" 200 4761
0:0:0:0:0:0:0:1 - - [02/Feb/2022:22:59:52 -0800] "GET /mycart/img/seo-and-web.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Feb/2022:22:59:52 -0800] "GET /mycart/img/list.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Feb/2022:22:59:52 -0800] "GET /mycart/img/product.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Feb/2022:23:00:11 -0800] "GET /mycart/admin.jsp HTTP/1.1" 200 4766
0:0:0:0:0:0:0:1 - - [02/Feb/2022:23:01:40 -0800] "GET /mycart/admin.jsp HTTP/1.1" 200 4778
0:0:0:0:0:0:0:1 - - [02/Feb/2022:23:02:12 -0800] "GET /mycart/admin.jsp HTTP/1.1" 200 4775
0:0:0:0:0:0:0:1 - - [02/Feb/2022:23:06:54 -0800] "GET /mycart/admin.jsp HTTP/1.1" 200 4842
0:0:0:0:0:0:0:1 - - [02/Feb/2022:23:06:54 -0800] "GET /mycart/img/seo-and-web.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Feb/2022:23:06:54 -0800] "GET /mycart/img/list.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Feb/2022:23:06:54 -0800] "GET /mycart/img/product.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Feb/2022:23:07:42 -0800] "GET /mycart/admin.jsp HTTP/1.1" 200 4838
0:0:0:0:0:0:0:1 - - [02/Feb/2022:23:07:42 -0800] "GET /mycart/img/key.png HTTP/1.1" 404 777
0:0:0:0:0:0:0:1 - - [02/Feb/2022:23:07:56 -0800] "GET /mycart/admin.jsp HTTP/1.1" 200 4839
0:0:0:0:0:0:0:1 - - [02/Feb/2022:23:07:56 -0800] "GET /mycart/img/keys.png HTTP/1.1" 200 12057
0:0:0:0:0:0:0:1 - - [02/Feb/2022:23:08:56 -0800] "GET /mycart/admin.jsp HTTP/1.1" 200 4865
0:0:0:0:0:0:0:1 - - [02/Feb/2022:23:09:54 -0800] "GET /mycart/admin.jsp HTTP/1.1" 200 4862
0:0:0:0:0:0:0:1 - - [02/Feb/2022:23:09:54 -0800] "GET /mycart/img/plus.png HTTP/1.1" 200 15271
0:0:0:0:0:0:0:1 - - [02/Feb/2022:23:10:24 -0800] "GET /mycart/LogoutServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Feb/2022:23:10:24 -0800] "GET /mycart/login.jsp HTTP/1.1" 200 3936
0:0:0:0:0:0:0:1 - - [02/Feb/2022:23:10:35 -0800] "POST /mycart/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Feb/2022:23:10:36 -0800] "GET /mycart/normal.jsp HTTP/1.1" 200 167
0:0:0:0:0:0:0:1 - - [02/Feb/2022:23:11:05 -0800] "POST /mycart/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Feb/2022:23:11:05 -0800] "GET /mycart/admin.jsp HTTP/1.1" 200 4862
