127.0.0.1 - - [12/Apr/2022:20:50:34 -0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [12/Apr/2022:20:51:01 -0700] "GET /mycart/ HTTP/1.1" 200 2797
0:0:0:0:0:0:0:1 - - [12/Apr/2022:20:51:02 -0700] "GET /mycart/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2022:20:51:02 -0700] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [12/Apr/2022:20:51:27 -0700] "GET /mycart/login.jsp HTTP/1.1" 200 3830
0:0:0:0:0:0:0:1 - - [12/Apr/2022:20:51:40 -0700] "POST /mycart/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Apr/2022:20:51:40 -0700] "GET /mycart/login.jsp HTTP/1.1" 200 4108
0:0:0:0:0:0:0:1 - - [12/Apr/2022:20:51:59 -0700] "POST /mycart/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Apr/2022:20:51:59 -0700] "GET /mycart/login.jsp HTTP/1.1" 200 4108
0:0:0:0:0:0:0:1 - - [12/Apr/2022:20:52:13 -0700] "POST /mycart/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Apr/2022:20:52:13 -0700] "GET /mycart/login.jsp HTTP/1.1" 200 4108
0:0:0:0:0:0:0:1 - - [12/Apr/2022:20:52:21 -0700] "POST /mycart/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Apr/2022:20:52:21 -0700] "GET /mycart/normal.jsp HTTP/1.1" 200 157
0:0:0:0:0:0:0:1 - - [12/Apr/2022:20:52:47 -0700] "POST /mycart/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Apr/2022:20:52:47 -0700] "GET /mycart/login.jsp HTTP/1.1" 200 4091
0:0:0:0:0:0:0:1 - - [12/Apr/2022:20:53:44 -0700] "GET /mycart/index.jsp HTTP/1.1" 200 2780
0:0:0:0:0:0:0:1 - - [12/Apr/2022:20:53:52 -0700] "GET /mycart/LogoutServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Apr/2022:20:53:52 -0700] "GET /mycart/login.jsp HTTP/1.1" 200 3830
0:0:0:0:0:0:0:1 - - [12/Apr/2022:20:53:59 -0700] "GET /mycart/register.jsp HTTP/1.1" 200 4532
0:0:0:0:0:0:0:1 - - [12/Apr/2022:20:53:59 -0700] "GET /mycart/img/add-friend.png HTTP/1.1" 200 37117
0:0:0:0:0:0:0:1 - - [12/Apr/2022:20:54:18 -0700] "POST /mycart/RegisterServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Apr/2022:20:54:18 -0700] "GET /mycart/register.jsp HTTP/1.1" 200 4811
0:0:0:0:0:0:0:1 - - [12/Apr/2022:20:54:31 -0700] "GET /mycart/login.jsp HTTP/1.1" 200 3830
0:0:0:0:0:0:0:1 - - [12/Apr/2022:20:54:47 -0700] "POST /mycart/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Apr/2022:20:54:47 -0700] "GET /mycart/normal.jsp HTTP/1.1" 200 157
0:0:0:0:0:0:0:1 - - [12/Apr/2022:21:03:06 -0700] "POST /mycart/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Apr/2022:21:03:06 -0700] "GET /mycart/admin.jsp HTTP/1.1" 200 4714
0:0:0:0:0:0:0:1 - - [12/Apr/2022:21:03:06 -0700] "GET /mycart/img/list.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2022:21:03:06 -0700] "GET /mycart/img/seo-and-web.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2022:21:03:06 -0700] "GET /mycart/img/product.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2022:21:03:06 -0700] "GET /mycart/img/plus.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2022:21:03:06 -0700] "GET /mycart/img/keys.png HTTP/1.1" 304 -
