127.0.0.1 - - [04/May/2022:21:13:10 -0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [04/May/2022:21:14:31 -0700] "GET /mycart/ HTTP/1.1" 200 11040
0:0:0:0:0:0:0:1 - - [04/May/2022:21:14:31 -0700] "GET /mycart/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/May/2022:21:14:31 -0700] "GET /mycart/img/products/lp1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/May/2022:21:14:32 -0700] "GET /mycart/img/products/lp2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/May/2022:21:14:32 -0700] "GET /mycart/img/products/el2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/May/2022:21:14:32 -0700] "GET /mycart/img/products/te1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/May/2022:21:14:32 -0700] "GET /mycart/img/products/mo2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/May/2022:21:14:32 -0700] "GET /mycart/img/products/ki2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/May/2022:21:14:32 -0700] "GET /mycart/img/products/ki1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/May/2022:21:14:32 -0700] "GET /mycart/img/products/te2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/May/2022:21:14:32 -0700] "GET /mycart/img/products/mo1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/May/2022:21:14:33 -0700] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [04/May/2022:21:15:31 -0700] "GET /mycart/ HTTP/1.1" 200 11040
0:0:0:0:0:0:0:1 - - [04/May/2022:21:15:31 -0700] "GET /mycart/css/style.css HTTP/1.1" 200 246
0:0:0:0:0:0:0:1 - - [04/May/2022:21:15:32 -0700] "GET /mycart/img/products/lp2.jpg HTTP/1.1" 200 11766
0:0:0:0:0:0:0:1 - - [04/May/2022:21:15:32 -0700] "GET /mycart/img/products/te2.jpg HTTP/1.1" 200 14210
0:0:0:0:0:0:0:1 - - [04/May/2022:21:15:32 -0700] "GET /mycart/img/products/lp1.jpg HTTP/1.1" 200 22387
0:0:0:0:0:0:0:1 - - [04/May/2022:21:15:32 -0700] "GET /mycart/img/products/el2.jpg HTTP/1.1" 200 13589
0:0:0:0:0:0:0:1 - - [04/May/2022:21:15:32 -0700] "GET /mycart/img/products/mo2.jpg HTTP/1.1" 200 5707
0:0:0:0:0:0:0:1 - - [04/May/2022:21:15:32 -0700] "GET /mycart/img/products/mo1.jpg HTTP/1.1" 200 9242
0:0:0:0:0:0:0:1 - - [04/May/2022:21:15:32 -0700] "GET /mycart/img/products/ki2.jpg HTTP/1.1" 200 13360
0:0:0:0:0:0:0:1 - - [04/May/2022:21:15:32 -0700] "GET /mycart/img/products/ki1.jpg HTTP/1.1" 200 14324
0:0:0:0:0:0:0:1 - - [04/May/2022:21:15:32 -0700] "GET /mycart/img/products/te1.jpg HTTP/1.1" 200 11430
0:0:0:0:0:0:0:1 - - [04/May/2022:21:28:21 -0700] "GET /mycart/ HTTP/1.1" 200 11148
0:0:0:0:0:0:0:1 - - [04/May/2022:21:28:26 -0700] "GET /mycart/index.jsp?category=14 HTTP/1.1" 200 5304
0:0:0:0:0:0:0:1 - - [04/May/2022:21:28:27 -0700] "GET /mycart/index.jsp?category=15 HTTP/1.1" 200 5277
0:0:0:0:0:0:0:1 - - [04/May/2022:21:29:03 -0700] "GET /mycart/index.jsp?category=15 HTTP/1.1" 200 5229
0:0:0:0:0:0:0:1 - - [04/May/2022:21:29:05 -0700] "GET /mycart/index.jsp?category=all HTTP/1.1" 200 11100
0:0:0:0:0:0:0:1 - - [04/May/2022:21:33:13 -0700] "GET /mycart/index.jsp?category=all HTTP/1.1" 200 11121
0:0:0:0:0:0:0:1 - - [04/May/2022:21:34:59 -0700] "GET /mycart/index.jsp?category=all HTTP/1.1" 200 11241
0:0:0:0:0:0:0:1 - - [04/May/2022:21:35:32 -0700] "GET /mycart/index.jsp?category=all HTTP/1.1" 200 11251
0:0:0:0:0:0:0:1 - - [04/May/2022:21:37:06 -0700] "GET /mycart/index.jsp?category=all HTTP/1.1" 200 11461
0:0:0:0:0:0:0:1 - - [04/May/2022:21:38:38 -0700] "GET /mycart/index.jsp?category=all HTTP/1.1" 200 11611
0:0:0:0:0:0:0:1 - - [04/May/2022:21:41:05 -0700] "GET /mycart/index.jsp?category=all HTTP/1.1" 200 11661
0:0:0:0:0:0:0:1 - - [04/May/2022:21:53:08 -0700] "GET /mycart/index.jsp?category=all HTTP/1.1" 200 11661
0:0:0:0:0:0:0:1 - - [04/May/2022:21:55:52 -0700] "GET /mycart/index.jsp?category=all HTTP/1.1" 500 2499
0:0:0:0:0:0:0:1 - - [04/May/2022:21:55:57 -0700] "GET /mycart/index.jsp?category=16 HTTP/1.1" 500 2499
0:0:0:0:0:0:0:1 - - [04/May/2022:21:56:04 -0700] "GET /mycart/ HTTP/1.1" 500 2499
0:0:0:0:0:0:0:1 - - [04/May/2022:21:56:23 -0700] "GET /mycart/ HTTP/1.1" 200 11800
0:0:0:0:0:0:0:1 - - [04/May/2022:21:57:50 -0700] "GET /mycart/ HTTP/1.1" 200 11800
0:0:0:0:0:0:0:1 - - [04/May/2022:21:58:30 -0700] "GET /mycart/ HTTP/1.1" 200 11920
0:0:0:0:0:0:0:1 - - [04/May/2022:21:58:57 -0700] "GET /mycart/index.jsp?category=14 HTTP/1.1" 200 5392
0:0:0:0:0:0:0:1 - - [04/May/2022:21:58:58 -0700] "GET /mycart/index.jsp?category=15 HTTP/1.1" 200 5364
0:0:0:0:0:0:0:1 - - [04/May/2022:21:58:59 -0700] "GET /mycart/index.jsp?category=16 HTTP/1.1" 200 5486
0:0:0:0:0:0:0:1 - - [04/May/2022:21:59:00 -0700] "GET /mycart/index.jsp?category=17 HTTP/1.1" 200 5518
0:0:0:0:0:0:0:1 - - [04/May/2022:21:59:01 -0700] "GET /mycart/index.jsp?category=18 HTTP/1.1" 200 5455
0:0:0:0:0:0:0:1 - - [04/May/2022:21:59:01 -0700] "GET /mycart/index.jsp?category=19 HTTP/1.1" 200 3864
0:0:0:0:0:0:0:1 - - [04/May/2022:22:00:51 -0700] "GET /mycart/index.jsp?category=19 HTTP/1.1" 200 3864
0:0:0:0:0:0:0:1 - - [04/May/2022:22:00:54 -0700] "GET /mycart/index.jsp?category=14 HTTP/1.1" 200 5418
0:0:0:0:0:0:0:1 - - [04/May/2022:22:00:56 -0700] "GET /mycart/index.jsp?category=15 HTTP/1.1" 200 5390
0:0:0:0:0:0:0:1 - - [04/May/2022:22:01:01 -0700] "GET /mycart/index.jsp?category=15 HTTP/1.1" 200 5390
0:0:0:0:0:0:0:1 - - [04/May/2022:22:01:04 -0700] "GET /mycart/index.jsp?category=14 HTTP/1.1" 200 5418
0:0:0:0:0:0:0:1 - - [04/May/2022:22:01:05 -0700] "GET /mycart/index.jsp?category=all HTTP/1.1" 200 12050
0:0:0:0:0:0:0:1 - - [04/May/2022:22:01:43 -0700] "GET /mycart/index.jsp?category=all HTTP/1.1" 200 12050
0:0:0:0:0:0:0:1 - - [04/May/2022:22:02:47 -0700] "GET /mycart/index.jsp?category=all HTTP/1.1" 200 12050
0:0:0:0:0:0:0:1 - - [04/May/2022:22:03:33 -0700] "GET /mycart/index.jsp?category=all HTTP/1.1" 200 12151
0:0:0:0:0:0:0:1 - - [04/May/2022:22:03:39 -0700] "GET /mycart/index.jsp?category=15 HTTP/1.1" 200 5491
0:0:0:0:0:0:0:1 - - [04/May/2022:22:04:51 -0700] "GET /mycart/index.jsp?category=15 HTTP/1.1" 200 5488
0:0:0:0:0:0:0:1 - - [04/May/2022:22:04:59 -0700] "GET /mycart/index.jsp?category=all HTTP/1.1" 200 12148
0:0:0:0:0:0:0:1 - - [04/May/2022:22:05:06 -0700] "GET /mycart/index.jsp?category=14 HTTP/1.1" 200 5516
0:0:0:0:0:0:0:1 - - [04/May/2022:22:05:26 -0700] "GET /mycart/index.jsp?category=14 HTTP/1.1" 200 5519
0:0:0:0:0:0:0:1 - - [04/May/2022:22:09:54 -0700] "GET /mycart/index.jsp?category=14 HTTP/1.1" 200 5516
0:0:0:0:0:0:0:1 - - [04/May/2022:22:09:55 -0700] "GET /mycart/index.jsp?category=14 HTTP/1.1" 200 5516
0:0:0:0:0:0:0:1 - - [04/May/2022:22:09:58 -0700] "GET /mycart/index.jsp?category=all HTTP/1.1" 200 12148
0:0:0:0:0:0:0:1 - - [04/May/2022:22:09:58 -0700] "GET /mycart/index.jsp?category=14 HTTP/1.1" 200 5516
0:0:0:0:0:0:0:1 - - [04/May/2022:22:10:00 -0700] "GET /mycart/index.jsp?category=15 HTTP/1.1" 200 5488
0:0:0:0:0:0:0:1 - - [04/May/2022:22:10:09 -0700] "GET /mycart/index.jsp?category=15 HTTP/1.1" 200 5491
0:0:0:0:0:0:0:1 - - [04/May/2022:22:10:11 -0700] "GET /mycart/index.jsp?category=all HTTP/1.1" 200 12151
